,Manufacturing_Value,Month_year
1126,164.6,11-2006
1127,165.6,12-2006
1128,164.0,01-2007
1129,166.8,02-2007
1130,169.3,03-2007
1131,171.4,04-2007
1132,173.3,05-2007
1133,173.8,06-2007
1134,175.1,07-2007
1135,172.4,08-2007
1136,173.5,09-2007
1137,174.7,10-2007
1138,179.0,11-2007
1139,178.6,12-2007
1140,181.0,01-2008
1141,182.7,02-2008
1142,187.9,03-2008
1143,190.9,04-2008
1144,196.6,05-2008
1145,200.5,06-2008
1146,205.5,07-2008
1147,199.0,08-2008
1148,196.9,09-2008
1149,186.4,10-2008
1150,176.8,11-2008
1151,170.9,12-2008
1152,171.2,01-2009
1153,169.3,02-2009
1154,168.1,03-2009
1155,169.1,04-2009
1156,170.8,05-2009
1157,174.1,06-2009
1158,172.5,07-2009
1159,175.0,08-2009
1160,174.1,09-2009
1161,175.2,10-2009
1162,177.4,11-2009
1163,178.1,12-2009
1164,181.9,01-2010
1165,181.0,02-2010
1166,183.3,03-2010
1167,184.4,04-2010
1168,184.8,05-2010
1169,183.5,06-2010
1170,184.1,07-2010
1171,184.9,08-2010
1172,184.9,09-2010
1173,186.6,10-2010
1174,187.7,11-2010
1175,189.7,12-2010
1176,192.7,01-2011
1177,195.8,02-2011
1178,199.2,03-2011
1179,203.1,04-2011
1180,204.1,05-2011
1181,203.9,06-2011
1182,204.6,07-2011
1183,203.2,08-2011
1184,203.7,09-2011
1185,201.1,10-2011
1186,201.4,11-2011
1187,199.8,12-2011
1188,200.7,01-2012
1189,201.6,02-2012
1190,204.2,03-2012
1191,203.7,04-2012
1192,201.9,05-2012
1193,199.8,06-2012
1194,200.1,07-2012
1195,202.7,08-2012
1196,204.4,09-2012
1197,203.5,10-2012
1198,201.8,11-2012
1199,201.5,12-2012
1200,202.5,01-2013
1201,204.3,02-2013
1202,204.0,03-2013
1203,203.5,04-2013
1204,204.1,05-2013
1205,204.3,06-2013
1206,204.4,07-2013
1207,204.2,08-2013
1208,203.9,09-2013
1209,202.5,10-2013
1210,201.2,11-2013
1211,202.0,12-2013
1212,203.8,01-2014
1213,205.7,02-2014
1214,207.0,03-2014
1215,208.3,04-2014
1216,208.0,05-2014
1217,208.3,06-2014
1218,208.0,07-2014
1219,207.0,08-2014
1220,206.4,09-2014
1221,203.4,10-2014
1222,200.9,11-2014
1223,197.0,12-2014
1224,192.0,01-2015
1225,191.1,02-2015
1226,191.5,03-2015
1227,190.9,04-2015
1228,193.4,05-2015
1229,194.8,06-2015
1230,193.9,07-2015
1231,191.9,08-2015
1232,189.1,09-2015
1233,187.5,10-2015
1234,185.7,11-2015
1235,183.5,12-2015
1236,182.6,01-2016
1237,181.3,02-2016
1238,182.1,03-2016
1239,183.2,04-2016
1240,185.3,05-2016
1241,187.6,06-2016
1242,187.7,07-2016
1243,186.6,08-2016
